Rk,Player Name,Nation,Position,Squad,Comp,Age,Birth Year,Games,Starts,Minutes,Nintys,Gls,Ast,G+A,G-PK,PK,PKatt,Yellow,Red,PrgC,PrgP,PrgR,Market Value
57,ola aina,NGA,DF,nottham forest,Premier League,28,1996,26,26,2261,25.1,2,1,3,2,0,0,2,0,51,88,49,14.0
58,rayan atnouri,ALG,DF,wolves,Premier League,23,2001,25,25,2122,23.6,3,5,8,3,0,0,6,1,57,81,116,35.0
59,junior ajayi,CIV,FW,hellas verona,Serie A,20,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,18.0
60,kristoffer ajer,NOR,DF,brentford,Premier League,26,1998,13,12,965,10.7,0,0,0,0,0,0,3,0,20,39,26,18.0
61,ludovic ajorque,FRA,FW,brest,Ligue 1,30,1994,20,18,1573,17.5,10,1,11,10,0,1,4,0,7,31,81,12.58
62,manuel akanji,SUI,DF,manchester city,Premier League,29,1995,20,20,1707,19.0,0,0,0,0,0,0,3,0,38,135,6,40.0
63,mit akdag,ROU,DF,toulouse,Ligue 1,21,2003,6,6,434,4.8,0,0,0,0,0,0,2,0,3,26,7,12.58
64,nathan ak,NED,DF,manchester city,Premier League,30,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,12,50,2,28.0
65,ilias akhomach,MAR,MF,villarreal,La Liga,20,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,30,12,64,15.0
66,sergio akieme,ESP,DF,reims,Ligue 1,27,1997,19,18,1583,17.6,1,1,2,1,0,0,3,0,39,60,61,7.0
67,maghnes akliouche,FRA,FW,monaco,Ligue 1,22,2002,21,17,1517,16.9,3,5,8,3,0,0,1,0,74,118,148,40.0
68,clment akpa,CIV,DF,auxerre,Ligue 1,23,2001,21,19,1681,18.7,0,1,1,0,0,0,4,0,20,55,23,12.58
69,jeandaniel akpaakpro,CIV,MF,monza,Serie A,32,1992,4,3,228,2.5,0,0,0,0,0,0,2,0,1,4,2,1.8
70,david akpan ankeye,NGA,FW,genoa,Serie A,23,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0,1,3,35.0
71,kevin akpoguma,NGA,DF,hoffenheim,Bundesliga,29,1995,22,17,1577,17.5,0,0,0,0,0,0,3,0,10,72,12,12.0
72,chuba akpom,ENG,FW,lille,Ligue 1,29,1995,3,2,202,2.2,2,0,2,2,0,1,0,0,0,1,15,8.0
73,david alaba,AUT,DF,real madrid,La Liga,32,1992,3,1,110,1.2,0,0,0,0,0,0,0,0,1,4,0,10.0
